Open,Close,High,Low,ATR,MACD,Signal Line,Trade
12912.9,12935.7,12935.9,12912.7,24.599999999999845,36.01,19.82,BUY
12935.8,12951.3,12954.8,12932.5,23.47857142857122,36.19,21.93,BUY
12951.4,12955.2,12960.7,12946.5,22.38571428571413,32.94,23.8,BUY
12970.5,12970.2,12979.9,12969.3,15.792857142856908,-3.33,27.08,SELL
12967.9,12974.0,12975.9,12959.9,15.88571428571413,-25.34,9.28,SELL
12982.3,12984.4,12994.5,12979.9,16.328571428571713,-20.94,-11.17,SELL
12844.4,12844.8,12846.0,12843.0,12.600000000000104,24.55,15.4,BUY
13015.7,13029.9,13032.9,13014.9,18.035714285714285,-27.82,-5.05,SELL
13067.6,13073.7,13079.7,13062.6,18.550000000000182,17.34,12.44,BUY
13045.3,13064.1,13067.8,13043.6,17.57142857142844,-17.98,-0.46,SELL
12950.7,12947.7,12950.7,12941.7,7.735714285713974,3.8,-1.78,BUY
12996.1,12999.1,13000.7,12996.1,17.61428571428613,26.72,-2.34,BUY
13000.8,13000.6,13002.1,12999.1,14.371428571429012,11.01,-1.54,BUY
12932.3,12931.7,12932.7,12921.5,9.742857142856726,18.59,2.14,BUY
12989.0,13001.5,13003.2,12988.1,18.95714285714283,-15.72,-2.8,SELL
13001.6,12996.0,13003.5,12984.9,19.407142857142908,-13.58,-5.48,SELL
12894.9,12904.0,12907.4,12894.0,15.742857142857117,-19.39,-9.63,SELL
13073.8,13075.5,13077.3,13068.5,13.050000000000052,-23.44,-21.45,SELL
13076.0,13078.0,13083.9,13075.9,12.70714285714283,-23.22,-22.0,SELL
13119.8,13119.2,13122.5,13117.7,6.650000000000026,42.8,5.87,BUY
13184.6,13190.2,13192.0,13180.0,17.09285714285722,14.98,20.68,SELL
13190.0,13168.6,13191.2,13166.9,16.892857142857274,12.03,23.79,SELL
13067.2,13076.7,13077.3,13059.5,19.850000000000104,37.66,-5.94,BUY
13076.4,13070.3,13078.3,13062.9,19.29285714285717,30.68,-0.69,BUY
13071.8,13067.1,13073.0,13066.3,6.764285714285506,-28.64,-10.66,SELL
13279.7,13284.9,13286.8,13276.2,11.142857142857272,-6.46,-13.69,BUY
13222.6,13220.7,13224.6,13218.8,6.22857142857148,7.77,-11.82,BUY
13320.5,13324.1,13326.6,13316.0,21.735714285714234,18.21,2.08,BUY
13364.3,13353.7,13364.3,13343.0,15.035714285714155,-43.62,-18.77,SELL
13356.6,13352.4,13357.1,13351.8,14.421428571428546,-34.07,-23.43,SELL
13352.7,13352.6,13355.2,13350.9,13.807142857142935,-31.46,-27.31,SELL
13324.6,13322.9,13329.1,13317.9,16.29285714285717,12.43,3.28,BUY
13460.1,13453.8,13463.3,13446.9,16.97857142857135,-20.1,-12.14,SELL
13433.6,13437.3,13438.1,13433.1,5.900000000000026,-0.96,-16.26,BUY
13437.1,13439.1,13439.1,13431.5,6.13571428571439,-1.62,-14.48,BUY
13762.1,13769.8,13776.6,13760.1,17.314285714285948,-44.86,-15.92,SELL
13735.7,13731.5,13739.6,13720.0,20.785714285714416,-20.34,-18.63,SELL
13781.7,13791.5,13792.2,13776.8,13.450000000000339,-8.67,-4.91,SELL
13686.0,13677.4,13688.6,13669.8,19.857142857142986,20.44,1.47,BUY
13677.3,13682.0,13684.3,13669.3,19.542857142857297,21.3,4.0,BUY
